"title","price","address","phoneNumber","noOfBedRooms","noOfBadRooms","imageUrl","description"
"3 bedroom detached bungalow for sale","₦62000000 ","Civic Residence, Ajah, Lagos","07062342456","3 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2277013/066556f77120b9-3-bedroom-detached-bungalow-plus-bq-ajah-detached-bungalows-for-sale-ajah-lagos.jpg","*civic residence.**title:* government allocation (certificate of occupancy)*location* - inside atlantic nominee layout, abraham adesanya by lekki gardens phase 5, ajah, lagos.civic residence is a unique development of the premium site and service plots, 3-bedroom detached bungalows with bq,this unique development that is set to redefine modern and exclusive living experiences is conveniently located in a top spot at the ajah-abraham adesanya axis, lekki-epe expressway, accessible to major business districts, malls, social structures, public space, etc.*product outline*- 3 bedroom detached bungalow + bq: *n62m**documentation fee: 5m**(price all-inclusive)*nb: *initial deposit: #10,000,000.**estate features*- greenery- water supply- estate gym- 24/7 security- drainage system- 24/7 power supply- parking lot- prime location- well paved floor- ⁠love garden*neighbourhood*- eti-osa mother & child care center- the ambiance 1- lagos business school (lbs)- blenco supermarket- skymall cinema- ajiwe police station- readington school*civic residence is here. come, let's enjoy the most civil living experience around.*for inquiries and site inspections call 080xxxx...More details"
"4 bedroom semi-detached duplex for sale","₦120000000 ","Orchid Road, Lafiaji, Lekki, Lagos","08082163583","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2292309/066617b9f98200-four-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-lafiaji-lekki-lagos.jpg","Two bedroom apartment for saletitle: governors consent building approval availablelocation: ajahamenities:- [ ] fitted kitchen with accessories- [ ] modern day pop ceiling- [ ] detailed finishing- [ ] highly elevated- [ ] wardrobes- [ ] all rooms ensuite- [ ] located in a serene environment- [ ] heat extractor- [ ] ample car parking- [ ] 24/7 securityprice: n120mcall adenike 09034271...More details"
"5 bedroom detached duplex for sale","$5500000 approx. ₦8277501683","Banana Island, Ikoyi, Lagos","08082163583","5 Bedrooms","6 Toilets","https://images.nigeriapropertycentre.com/properties/images/thumbs/2292599/06661a3f23ee78-luxurious-5-bedroom-detached-duplex-with-2-rooms-bq-detached-duplexes-for-sale-banana-island-ikoyi-lagos.jpg","Luxurious 5 bedroom fully detached duplex with 2 rooms bq located in banana island, ikoyiprice: $5.5mall rooms ensuite, large living and dining area, wet and dry kitchen, sauna, elevator, gym space, family lounge, open terrace, pool, large parking sp...More details"
"3 bedroom house for sale","₦200000000 ","Lekki, Lekki Phase 1, Lekki, Lagos","08082163583","3 Bedrooms","3 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2300567/066682b6087e02-luxury-3-bedroom-flat-for-sale-lekki-phase-1-lekki-lagos.jpg","For sale!! distressed!three bedroom detached house with one room bq.location: lekki phase oneprice:200 millionmarket value is 280-300mplease call emmanuel +234 810 020 3228 for more information and inspect...More details  Added Yesterday"
"5 bedroom detached duplex for sale","₦400000000 ","Orchid, Lekki, Lagos","09056012672","5 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302496/066697de74d866-elegantly-built-5-bedroom-detached-duplex-with-pool-gymcinema-and-bq-detached-duplexes-for-sale-lekki-lagos.jpeg","Elegantly built 5 bedroom fully detached duplex with swimming pool, gym, cinema and bqlocation: orchidprice: n400mfeatures--swimming pool -ensuite rooms - aesthetic pop ceilings -cinema - spot lighting - boy's quarters - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop -gym - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood freetitle: governor's cons...More details  Added Today"
"4 bedroom terraced duplex for sale","₦135000000 ","Orchid, Lekki, Lagos","08103254940","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302495/066697dd608d12-luxury-4-bedroom-terrace-duplex-with-bq-in-a-secured-estate-terraced-duplexes-for-sale-lekki-lagos.jpg","Luxury 4 bedroom terrace duplex with bq in a secured estate.location: orchid, lekkititle: governor's consentprice: n135mfeatures--ensuite rooms - aesthetic pop ceilings - spot lighting -chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 2 parking spaces - gate house - secured estate - good access roads - flood free -bq------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"4 bedroom semi-detached duplex for sale","₦130000000 ","Ocean Breeze Estate Ologolo, Lekki, Lagos","08183031299","4 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/noimage.jpg","Urgent sale - lekki lagosa well maintained and furnished 4 bedroom semi-detached duplex with 1 room bq suitable for shortlet business and residential at ocean breeze estate, ologolo, lekki lagos.title: gov. consentprice: ₦130 million naira. 5% agency commission paya...More details  Added Today"
"4 bedroom detached duplex for sale","₦300000000 ","Osapa, Lekki, Lagos","09056012672","4 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302487/066697d5cb9346-contemporary-4-bedroom-detached-duplex-with-bq-in-secured-estate-detached-duplexes-for-sale-osapa-lekki-lagos.jpeg","Contemporary 4 bedroom fully detached duplex with bq in a secured estate.location: osapa londonprice: n300mfeatures-ensuite rooms - aesthetic pop ceilings - spot lighting - chandelier - sound system - spacious living room - cctv cameras - clean water - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 4 parking spaces - gate house - secured estate - good access roads - flood free -bqtitle: governor's cons...More details  Added Today"
"5 bedroom detached duplex for sale","₦670000000 ","Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","08132375831","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302486/066697d34f396e-5-bedroom-fully-detached-duplex-fitted-kitchenbq-cinema-a-pool-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg","More details  Added Today"
"5 bedroom detached duplex for sale","$1200000 approx. ₦1806000367","Osapa, Lekki, Lagos","08103254940","5 Bedrooms","5 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302485/066697cf71a36c-exquisitely-detailed-5-bedroom-detached-smart-home-with-pool-cinema-detached-duplexes-for-sale-osapa-lekki-lagos.jpg","Exquisitely detailed 5 bedroom detached smart home in osapa london with swimming pool, cinema, open terracelocation: osapa london, lekkititle: governor's consentprice: $1.2mfeatures--swimming pool - ensuite rooms - full home automation - air conditioner - -cinema - family lounge -bq- adjoining office -open terrace -sitout cover - automation -cinema switches - box room - boy's quarters - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 5 parking spaces - gate house - secured estate - good access roads - flood free.------------------------------------------------️ ️️️for more inquiries:️: + 234 810 325 4940 (call and whatsapp)️: +2349117522849 (call and whatsa...More details  Added Today"
"4 bedroom terraced duplex for sale","₦380000000 ","Keffi Road, South West, Ikoyi, Lagos","09087504002","4 Bedrooms","4 Bathrooms","https://images.nigeriapropertycentre.com/properties/images/thumbs/1652013/06462143fd825f-luxury-4-bedroom-terrace-with-1-room-bq-terraced-duplexes-for-sale-ikoyi-lagos.jpg","A luxury 4 bedroom terrace with 1 room bq for sale. it has top-notched amenities in a serviced estate. the end unit is 380m while the mid unit is 370m.call now for more details:09087504002; 09087504003; 09087504004; 09087504005; 09087504...More details"
"4 bedroom detached duplex for sale","₦160000000 ","Ikota, Lekki, Lagos","09056012672","4 Bedrooms","Save","https://images.nigeriapropertycentre.com/properties/images/thumbs/2302481/066697c9ee001d-exquisitely-finished-4-bedroom-detached-duplex-with-open-terrace-detached-duplexes-for-sale-ikota-lekki-lagos.jpeg","Exquisitely finished 4 bedroom fully detached duplex with an open terrace within a secured estate.location: ikota, lekkiprice: n160mfeatures-open terrace -ensuite rooms - family lounge - aesthetic pop ceilings - spot lighting - chandelier - clean water - sound system - spacious living room - cctv cameras - video door bell security - top quality tiles - pantry - island countertop - master's suite - walk-in closet - walk-in shower - jacuzzi - custom vanity - 3 parking spaces - gate house - secured estate - good access roads - flood free.title: governor's cons...More details  Added Today"
